key,code,moment,startDate,endDate,amount,type,email,link,published,key:project,key:sponsor
sponsorship-12,QQQ-123,2021/12/31 00:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-13,WWW-123,2021/08/21 17:00,2021/08/21 17:01,2022/09/21 17:02,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-14,SSS-123,2021/08/21 17:00,2021/08/21 23:59,2022/09/22 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-15,PPP-123,2021/08/21 17:00,2022/01/01 00:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-16,OOO-123,2021/08/21 12:00,2021/08/21 12:01,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-17,KKK-123,2021/08/21 11:00,2021/08/21 11:59,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-18,LLL-123,2021/08/05 17:00,2021/08/06 00:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-19,UUU-123,2021/08/05 17:00,2021/08/06 00:01,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-20,GGG-123,2021/08/21 17:00,2021/12/31 23:59,2022/02/12 17:00,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-21,NNN-123,2021/08/21 17:00,2021/12/31 00:00,2022/02/12 17:00,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-22,MMM-123,2021/08/21 17:00,2022/08/21 17:00,2023/09/12 00:00,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-23,XXX-123,2021/08/21 17:00,2022/08/21 17:00,2023/09/12 23:59,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-24,ZZZ-123,2021/08/21 17:00,2022/08/21 17:00,2023/01/01 00:00,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-25,NEG-123,2021/08/21 17:00,2022/08/21 17:00,2023/09/12 12:00,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-26,NIG-123,2021/08/21 17:00,2022/08/21 17:00,2023/09/12 11:59,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-27,ASD-123,2021/08/21 17:00,2022/08/21 17:00,2023/08/28 17:00,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-28,ZXC-123,2021/08/21 17:00,2022/08/21 17:00,2023/08/28 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-29,CBV-123,2021/08/21 17:00,2022/08/21 17:00,2023/12/31 00:00,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-30,BNM-123,2021/08/21 17:00,2022/08/21 17:00,2023/12/31 23:59,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-31,JKL-123,2021/08/21 17:00,2021/08/21 17:01,2022/09/21 17:02,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-32,POI-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:00,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-33,POU-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 0.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-34,NOE-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,"EUR 150,000.0",FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-35,QUI-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 0.01,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-36,CUI-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 00.02,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-37,NAO-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 1000000.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-38,PSO-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 999999.99,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-39,SNI-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,USD 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-40,WEY-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,GBP 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-41,FAK-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,IN_KIND,sponsor@acme.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-42,GOG-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@gmail.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-43,BOF-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@alum.us.es,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-44,KYS-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@hotmail.com,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-45,ICL-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,null,https://es.linkedin.com,true,project-01,sponsor-01
sponsorship-46,RYS-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,null,true,project-01,sponsor-01
sponsorship-47,BBF-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,ftp://user:pass@acme.org,true,project-01,sponsor-01
sponsorship-48,FBB-123,2021/08/21 17:00,2022/08/21 17:00,2022/09/21 17:01,EUR 10.0,FINANCIAL,sponsor@acme.com,https://es.linkedin.com/a?b,false,project-01,sponsor-02
sponsorship-49,FAR-477,2000/04/08 00:00,2008/07/23 00:00,2017/07/18 00:00,"EUR 643,844.35",FINANCIAL,crn9bjymce@outlook.com,https://dyswmmfbjr9udf6kexjed33276nbkv56p3voyowoopwlg8a5xtnq8vdx45bturw6mfqkw2t.com,False,project-01,sponsor-01
sponsorship-50,XGD-631,2016/04/26 00:00,2018/10/27 00:00,2020/10/02 00:00,"EUR 312,698.48",FINANCIAL,sdhqqpva1w@yahoo.com,https://yb6jn2i7kryvv9vr3460xpz4b5hakw13wky6dq2dyw01bvsmtld30armk846xyhwx3tppo3r42j3chn845rpbbo4vtuqn0vtpdyzb6cmo3oq27wmtxwybdinxiw6sefozl6ox30kw2.com,False,project-01,sponsor-02
sponsorship-51,NUI-864,2004/09/25 00:00,2005/11/08 00:00,2008/05/08 00:00,"EUR 389,109.27",FINANCIAL,4vx1t91365@yahoo.com,https://8y7ve675ojo5y02me611q3d4v67vxhy3dx41lbu3m1un2kevckxn6ysxpmb8hbg4hmhtx1pupcemgmhctj6ks65jx9crpzugzkz55p9021brsbsobx7zy4ihyo09d6g4g73y8lmin.com,True,project-02,sponsor-02
sponsorship-52,NAP-980,2010/01/22 00:00,2015/03/04 00:00,2015/07/16 00:00,"EUR 75,551.67",FINANCIAL,o7fj17wx6q@outlook.com,https://tergd3pemnvjsvayotgvf3tjvzd7cj2vjsyvf07cfvnp4m8so5u06bx4gd2mjidsisqnxnzjlwrba503vsx1sk1ljkhoshhlxmw3v3y90l2wx2sp2a51nbd4i6si953v0vvh22sstwosbb76sw4rbdouigl8v6fsc357ktmhv91nhli187xxtel39rbejj1t5iz2g195njbtnkjsetowqnx1r8fg.com,False,project-02,sponsor-02
sponsorship-53,DRE-685,2017/02/08 00:00,2017/05/30 00:00,2019/01/21 00:00,"EUR 276,539.29",FINANCIAL,grpy37ypvj@yahoo.com,https://pb3696x894jl84dhdktvutpv1v3tacxrzxyoh8iwxeydclyjic4qeorxsocgv9l5qrnkzatq3ttsdjjhjspww5t0eaa63qtuw2r0s00gagfbqmzz6tdk946d1xx2dva4l0bw4kl00sjboweotbd36kn2qm02qddsyppbt598kw8wl7gal2gn496anp6qygoejv3e0aaue8dnypq44yc4bve7wu2ic.com,True,project-01,sponsor-01
sponsorship-54,HYW-660,2013/10/08 00:00,2015/09/20 00:00,2017/09/22 00:00,"EUR 703,630.70",FINANCIAL,9fpe1jutvo@outlook.com,https://6wzv40uu12f1dk7lx32iwcf3huuqijgrj56ftd9nbh2xdmjj57ihrzjvii7jrlcq.com,True,project-01,sponsor-02
sponsorship-55,DHC-095,2000/07/01 00:00,2001/03/04 00:00,2008/02/26 00:00,"EUR 688,184.16",FINANCIAL,vzkhy2nywv@gmail.com,https://94uoz6drm5hsumc2yfiqzjl9nf5pbzl8jcwq0pz3ktfwnzk20tbciw879yjlfkwrpumps1v4o375614s7jg54e93bpc3iw1re776okf6krgq0zkunbytu92wjtxv7d3s5nit7hd91uuxgpjqoa5hj6yq9fqmkvl0ilqw7o6c6epubsq2v5b0srijg61wsv5qy.com,False,project-01,sponsor-02
sponsorship-56,AEE-680,2007/05/07 00:00,2013/09/11 00:00,2019/07/05 00:00,"EUR 979,544.42",FINANCIAL,n48mvywski@gmail.com,https://xq4mva908fubdw2u2jutnanhqypjgrz2c2y503h38niui348q9ibiliypiwxvy0jrueqhzdevr32f4vwy9i6baq83zyqrf6vx5g35oz0abat83g15mzt680hi3vealmtkyxju5ry9qaba60ki1qhtk20xlewl2dsc142ccns0g1soicvwcrf28s1btwemyxkqcgc0iw6n9ykid8euk415silgz2v4in1je.com,False,project-02,sponsor-02
sponsorship-57,PAN-110,2005/05/08 00:00,2012/04/29 00:00,2014/11/15 00:00,"EUR 294,435.55",FINANCIAL,7lm9ivahvc@hotmail.com,https://gnguv8mkqbohsroy7oysj3etqtrmo5ymaihydq53nd8yethuqkrf5jop35bpef659246hzv3l4r0hjr9pm7ls6mlvb79i8jc3lqamxyw7fksr5qn2c30bqachkjx39h0zvf0knuikdjqnf7hys73powhbopjmacazd6kzfdkwpuwj0.com,True,project-02,sponsor-02
sponsorship-58,MCX-285,2000/03/01 00:00,2006/01/24 00:00,2019/06/28 00:00,"EUR 365,998.24",FINANCIAL,6ehfdsvs0z@hotmail.com,https://s29nixd8ppza3tk0unxrpn.com,True,project-02,sponsor-01
sponsorship-59,PJR-022,2005/06/18 00:00,2006/10/21 00:00,2009/06/15 00:00,"EUR 736,796.90",FINANCIAL,p9m8p1mz2g@outlook.com,https://oiddlhpj8vwmdrifth888mc2kd4j65jcejikseiyuef89klz86cxuoljiz7t6pntnc7qepkz6q3fsevpqi2x5nos0st1f5ciyxjmuib4mjcte.com,False,project-02,sponsor-02
sponsorship-60,RLA-181,2019/06/13 00:00,2021/07/07 00:00,2022/10/17 00:00,"EUR 466,853.62",FINANCIAL,5ddymfl0s7@outlook.com,https://cy3p5wuzgfvwjwixg1o6xqgrii9ml6hdqeyf2hwnt9piigtwg1xhctd0cmgwi2evvo96gxmoa1dlxg7ckw68xyzw7svfvshe43s.com,False,project-02,sponsor-01
sponsorship-61,AKI-479,2019/11/07 00:00,2022/01/03 00:00,2024/12/30 00:00,"EUR 934,791.97",FINANCIAL,poyed34p50@hotmail.com,https://14gwkh10mh390629v03cd614fsfq65xf17t93tu0ahx8gjgqyvvjsxl7iah7oxd9qoqcl2pxxgr0jj8lsb9sk8uo2v8n6jpq59t2jek5a7gfn0bpy50cfq36oedtugkp6kz1543abqd9v3zfflaq8fetfc7nvhu66rtmnlwa2wb142o.com,False,project-01,sponsor-02
sponsorship-62,PEZ-721,2003/11/26 00:00,2004/11/05 00:00,2017/11/13 00:00,"EUR 174,223.39",FINANCIAL,25i0vu6kem@gmail.com,https://2wtc92bygva1g7l7av8kohaaam9xq8m0xtc417ntvuhuug9wmdr3cn7c59j4h1ljoj1lwqqqsvuwl8k5h7k0uvh2pb4gu2n2z.com,False,project-02,sponsor-02
sponsorship-63,UTQ-449,2012/03/07 00:00,2013/02/10 00:00,2016/10/09 00:00,"EUR 182,011.45",FINANCIAL,81a86wzsyd@outlook.com,https://uvniupxm6cmkklun6bqkw7k89rw2odze79wbzfck9uple0nm7r55o6r1qhwkgrcdfjv7omq13v4x7pxm0zd1520t4a50jvdhde62w7mf0g8av1q94zn27.com,False,project-01,sponsor-02
sponsorship-64,SRJ-051,2003/05/21 00:00,2007/11/15 00:00,2010/10/01 00:00,"EUR 594,097.72",FINANCIAL,cchlx2a3q6@gmail.com,https://lxa7kwgw8o6r88qu6bepa7uk1qrpof42gceififkentlmbh3ixsn9z5cm.com,False,project-01,sponsor-01
sponsorship-65,NAD-749,2013/09/29 00:00,2014/10/29 00:00,2015/08/10 00:00,"EUR 30,832.52",FINANCIAL,fwi02kzswc@hotmail.com,https://9hr9bttzq7ifrr6wp64kd5mghiowi8520i9bd.com,True,project-01,sponsor-01
sponsorship-66,UQT-710,2020/12/20 16:15,2021/01/17 03:10,2022/02/20 23:18,"EUR 145,867.38",FINANCIAL,k9zmjweq4b@outlook.com,https://06fcgcrf0y8h1yk86p5zgnqnjrfmznx8pmj9njwsj5k40ycbgjvx5r1qhljx3o4eftlq7luvg11zv1pnbasu73ifuc4iqh03i5g55fudwapml1btvbma8mtqf88q8gf89qtnwxcd.com,True,project-02,sponsor-01
sponsorship-67,DUC-142,2011/03/20 00:00,2013/08/17 00:00,2022/03/09 00:00,"EUR 965,146.62",FINANCIAL,44oyjz80pb@outlook.com,https://wi1bpucpny8sgwq0hbdsgww2r9nbf5xw16mhjf0hzkg2ubkzykim64vitrvg88x7o6x6045ixa1tb177699hgs0czwe6ap8cq6c0ui048mriotx4m5x3nph1xiw44psa321ekvq554cfe3z6uh5xftjjd9yby1tjtejjvk4v7vlcafg0m7b0g18ry51vzy3o08wacu3qe7zoo9801q96jdxpyqx6sf4c8wydx.com,True,project-02,sponsor-01
sponsorship-68,VKP-459,2010/06/22 00:00,2012/07/03 00:00,2012/12/10 00:00,"EUR 418,332.79",FINANCIAL,jdzrl5leox@gmail.com,https://iuc92plpynwypw5ljwvj.com,True,project-02,sponsor-02
sponsorship-69,EWZ-548,2022/04/13 00:00,2023/05/16 00:00,2025/01/17 00:00,"EUR 142,020.04",FINANCIAL,bomfbjat9l@yahoo.com,https://av7y3uekl8n0suzgc80th4c7v7nnkwgonfryp49ska80bnu7o340sao0iovhq6eaerfk1tvin582dt6687r708155kii9mnnalh5auce8x7xj2m41hcmlzr44ivmsqzw4w0elv14aq22bi21qgkovwd8e2fzn1gnk9npx0mrod8elrw6b8wivovgtywf43fm1hv4jl3w82odo7ikue6fmumfo3lb4.com,True,project-02,sponsor-01
sponsorship-70,RKJ-932,2009/04/11 00:00,2011/05/19 00:00,2016/05/04 00:00,"EUR 754,031.88",FINANCIAL,ba7itoe9mg@yahoo.com,https://52m6ih1ab8b2kygy4060jmyz6dv59kps7lazgsfrh0x9vu5nkui9fwo6xdt53opf1bfn7awq3r6ysh7ocfwz82kzylt1x17jhdb.com,True,project-02,sponsor-02
sponsorship-71,ISR-118,2006/03/16 10:00,2006/04/13 01:42,2008/07/23 18:02,"EUR 916,452.90",FINANCIAL,m0ki7z0690@outlook.com,https://icmrv7ltt2ptokr59bsfl9qggp0nww1y00a6gx77xsprbkbd36wgt8i5k126lxq048cdh9a06r6h9vmouk5skcbauobd0hwc5kdsex8xtv3nc0zuzbkkyqj7vv30fuhvfsfe0q3w3eio0qdfw0cookvk0dqeqlj67ttazu6wcvcrw8gqszum08vv0btvtu5fnnc3zf7h1ghqxv7s7jc.com,True,project-02,sponsor-01
sponsorship-72,JNC-287,2013/08/11 12:56,2013/09/08 10:46,2015/11/30 23:01,"EUR 776,010.81",FINANCIAL,6hbtfuqq70@gmail.com,https://o4he77ic6mfo4rqmpl441ekuqjv6i1bqse35haf6yig4nnyfkql959eyb4hbzky8fcyjcuqlvtsj7idkh36zmj7mp9ym8jxwvtsi4y15osxzlqnj9r2nejhl50ffmd6t4prevnh9qkafuvbarr1thwg2yuhtqklj9jllsudqkfy0dgoltvw2k4dwqsx8uyf5xgxbc5vje54o9bdan7vrbwl48n08q1kb.com,True,project-02,sponsor-01
sponsorship-73,SJT-499,2019/08/28 00:00,2019/10/08 00:00,2022/03/25 00:00,"EUR 737,430.97",FINANCIAL,wy081t7nji@hotmail.com,https://vupkzm0xncjl926rkt7j45e6zgn10h5npaofkgiuhevtuz0fcfcjqsrz3p0.com,True,project-02,sponsor-01
sponsorship-74,SUC-142,2014/05/02 00:00,2016/07/26 00:00,2020/08/16 00:00,"EUR 70,791.75",FINANCIAL,0pxipektbk@yahoo.com,https://llvya6uaza4x9kdidi5mhl0wd3fwpgqrymht5zb1x13l4l2qd9sp6ryygz40wuom9v1avg65pc1csr0dy07jcbhye.com,False,project-01,sponsor-01
sponsorship-75,FSA-374,2005/06/29 11:36,2005/07/27 04:37,2006/09/24 23:10,"EUR 708,902.69",FINANCIAL,7ibd5r0r49@yahoo.com,https://l1unb3057cvzyb96kjl0bax2vhdti9ju7wf2w91bf4doaubol97vzr2ulhmukwqmllnp.com,False,project-01,sponsor-02
sponsorship-76,RVV-290,2018/12/16 21:46,2019/01/13 17:26,2021/10/08 22:06,"EUR 975,149.98",FINANCIAL,xhtpgrylol@yahoo.com,https://semb8qf5ph20kvhuel7uwhssemmgy4zkqboi1waii3tt6k60p8xui0vwom2xnn4c3sya1iubod5fny8cn9i2up8wh.com,False,project-01,sponsor-02
sponsorship-77,WVN-304,2010/09/13 00:00,2019/12/01 00:00,2022/02/14 00:00,"EUR 816,335.30",FINANCIAL,8ck2lvv7oy@hotmail.com,https://d4tt3vo25ilbv3fjmof6hk1nuho21632yrcbzowux7iffzunipbtl1mjs.com,False,project-01,sponsor-02
sponsorship-78,VPT-573,2015/01/12 00:00,2017/03/04 00:00,2019/01/14 00:00,"EUR 81,965.24",FINANCIAL,xt36z5h5f1@yahoo.com,https://21goxe5d0lhg99nqw1r2izoksxv7bcww3uehkbgnzc5ta5mu74s6xjanm4mwaz5dth6ffsz1q81yzza8byfttnhes5bbiuu34dguw3sj3vfiz.com,False,project-02,sponsor-02
