key,code,start-period,end-period,location,instructor,contact-email,link,draft-mode,key:trainingModule
training-session-39,TS-ABC-024,2200/12/24 23:59,2200/12/31 23:59,العظمى واعتلاء,국민경제의 발전을,a@b.esx,ftp://www.lorem-ipsum.org,false,training-module-02
training-session-40,TS-ZA-025,2028/02/28 00:00,2028/03/06 00:00,საქართველოს,العظمى واعتلاء,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomco,http://www.lorem-ipsum.org/dolor/sit.html,false,training-module-02
training-session-41,TS-ZAZ-026,2000/01/08 00:00,2000/01/15 00:00,국민경제의 발전을,საქართველოს,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,http://www.lorem-ipsum.org/dolor/sit.html#dolor,false,training-module-02
training-session-42,TS-AZA-027,2200/12/24 23:59,2200/12/31 23:59,Ро,Ju,Da@acme.com,http://example.org?a=1&b=2,false,training-module-02
training-session-43,TS-BZB-028,2022/07/30 00:00,2022/08/06 00:00,РоREto,JuLi,Da@acme.com,http://example.org?,false,training-module-02
training-session-44,TS-BZ-029,2022/07/30 00:01,2022/08/06 00:01,РоR,Ju,a@b.es,http://example.org?a,false,training-module-02
training-session-45,TS-YZY-030,2022/07/30 00:00,2200/12/31 23:58,العظمى واعتلاء,Jur,a@b.esx,http://example.org?a&b,false,training-module-02
training-session-46,TS-WZW-031,2022/07/30 00:00,2200/12/31 23:59,Ро,Ju,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomco,http://example.org/,false,training-module-02
training-session-47,TS-WZ-333,2022/07/30 00:00,2028/02/28 00:00,Lorem ipsum,Ju,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,http://example.org/a,false,training-module-02
training-session-48,TS-WWW-033,2022/07/30 00:00,2022/08/06 00:00,국민경제의 발전을,Ju,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,http://example.org/a/b,false,training-module-02
training-session-49,TS-WW-034,2022/07/30 00:01,2022/08/06 00:01,Ро,Ju,acme@lorem-ipsum.org,http://example.org/a/b?,false,training-module-02
training-session-50,TS-P-035,2022/07/30 00:02,2022/08/06 00:02,Ро,Ju,MariaSalomeaSkłodowska-Curie@acme.com,http://example.org/a/b?a&b,false,training-module-02
training-session-51,TS-PA-036,2022/07/30 04:00,2022/08/06 04:00,العظمى واعتلاء,Ju,SanAgustín@acme.com,http://www.lorem-ipsum.org,false,training-module-02
training-session-52,TS-QRA-037,2022/07/30 04:01,2022/08/06 04:01,Ро,Ju,ElonMusk@acme.com,ftp://a,false,training-module-02
training-session-53,TS-ZZZ-999,2000/01/08 0:01,2000/01/15 0:01,L,L,FriedrichNietzsche@acme.com,ftp://a.b,false,training-module-02
training-session-54,TS-ZZZ-998,2000/01/08 0:02,2022/12/31 23:58,Lo,Lo,DavidHume@acme.com,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,training-module-02
training-session-55,TS-YZZ-000,2000/01/08 0:02,2000/01/15 0:02,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",Aristóteles@acme.com,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,training-module-02
training-session-56,TS-ZZZ-000,2000/01/08 0:00,2000/01/15 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",母鹿@acme.com,https://www.lorem-ipsum.org,false,training-module-02
training-session-57,TS-ZZZ-001,2200/12/24 23:58,2200/12/31 23:58,국민경제의 발전을,국민경제의 발전을,Sócrates@acme.com,ftp://www.lorem-ipsum.org,false,training-module-02
training-session-58,TS-YZY-000,2200/12/24 23:59,2200/12/31 23:59,العظمى واعتلاء,العظمى واعتلاء,FredCohen@acme.com,http://www.lorem-ipsum.org/dolor/sit.html,false,training-module-02
training-session-59,TS-AAA-001,2028/02/28 0:00,2028/03/06 0:00,สวัสดีชาวโลก,สวัสดีชาวโลก,BrianBehlendorf@acme.com,http://www.lorem-ipsum.org/dolor/sit.html#dolor,false,training-module-02
training-session-60,TS-AAA-999,2022/7/30 0:00,2022/08/06 0:00,fGhI三AbCdEfGhI四AbCdEfGhI五AbCdEfGhI六Ab,fGhI三AbCdEfGhI四AbCdEfGhI五AbCdEfGhI六Ab,TimBerners-Lee@acme.com,http://example.org?a=1&b=2,false,training-module-02
training-session-61,TS-AAA-998,2022/07/30 0:00,2022/08/06 0:01,世界多米纳兰独角兽,世界多米纳兰独角兽,AndersHejlsberj@acme.com,http://example.org?,false,training-module-02
training-session-62,TS-A-999,2022/07/30 0:01,2022/08/06 0:01,d,d,GuidoVanRossum@acme.com,http://example.org?a,false,training-module-02
training-session-63,TS-A-998,2022/08/05 23:59,2022/08/12 23:59,de,de,a@b.es,http://example.org?a&b,false,training-module-02
training-session-64,TS-AA-999,2022/09/01 10:00,2022/09/08 10:00,국민경제의 발전을,국민경제의 발전을,a@b.esx,http://example.org/,false,training-module-02
training-session-65,TS-AA-998,2022/07/04 22:00,2022/07/11 22:00,العظمى واعتلاء,العظمى واعتلاء,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomco,http://example.org/a,false,training-module-02
training-session-66,TS-B-000,2022/07/04 22:00,2022/07/11 22:00,Lorem ipsum,Lorem ipsum,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,http://example.org/a/b,false,training-module-02
training-session-67,TS-B-001,2022/07/04 23:59,2022/07/11 23:59,Pochita feroz,Pochita feroz,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,http://example.org/a/b?,false,training-module-02
training-session-68,TS-B-999,2012/01/01 23:59,2012/01/08 23:59,Tengo muchos leslies en mi grupo,Tengo muchos leslies en mi grupo,acme@lorem-ipsum.org,http://example.org/a/b?a&b,false,training-module-02
training-session-69,TS-B-998,2011/01/04 0:00,2011/01/11 0:00,Los unicornios dominaran el mundo,Los unicornios dominaran el mundo,MariaSalomeaSkłodowska-Curie@acme.com,ftp://a,false,training-module-02
training-session-70,TS-BB-000,2022/07/04 0:00,2022/07/12 0:00,Me gustan los gatos,Me gustan los gatos,SanAgustín@acme.com,ftp://a.b,false,training-module-02
training-session-71,TS-BB-001,2022/07/04 17:00,2022/07/11 17:00,detalles3,detalles3,ElonMusk@acme.com,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,training-module-02
training-session-72,TS-BB-999,2000/01/08 0:00,2000/01/15 0:00,deTAILS,deTAILS,FriedrichNietzsche@acme.com,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,training-module-02
training-session-73,TS-BB-998,2000/01/08 0:01,2022/12/31 23:58,L,de,DavidHume@acme.com,https://www.lorem-ipsum.org,false,training-module-02
training-session-74,TS-BBB-000,2000/01/08 0:01,2000/01/15 0:01,Lo,Ju,Aristóteles@acme.com,ftp://www.lorem-ipsum.org,false,training-module-02
training-session-75,TS-BBB-001,2000/01/08 0:00,2000/01/15 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",Lo,Da@acme.com,http://www.lorem-ipsum.org/dolor/sit.html,false,training-module-02
training-session-76,TS-BBB-999,2200/12/24 23:58,2200/12/31 23:58,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",母鹿@acme.com,http://www.lorem-ipsum.org/dolor/sit.html#dolor,false,training-module-02
training-session-77,TS-BBB-998,2200/12/24 23:59,2200/12/31 23:59,국민경제의 발전을,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",Sócrates@acme.com,http://example.org?a=1&b=2,false,training-module-02
training-session-78,TS-Y-000,2028/02/28 0:00,2028/03/06 0:00,العظمى واعتلاء,국민경제의 발전을,Da@acme.com,http://example.org?,false,training-module-02
training-session-79,TS-Y-001,2022/7/30 0:00,2022/08/06 0:00,สวัสดีชาวโลก,العظمى واعتلاء,FredCohen@acme.com,http://example.org?a,false,training-module-02
training-session-80,TS-Y-999,2022/07/30 0:00,2022/08/06 0:01,fGhI三AbCdEfGhI四AbCdEfGhI五AbCdEfGhI六Ab,สวัสดีชาวโลก,Da@acme.com,http://example.org?a&b,false,training-module-02
training-session-81,TS-Y-998,2022/07/30 0:01,2022/08/06 0:01,世界多米纳兰独角兽,fGhI三AbCdEfGhI四AbCdEfGhI五AbCdEfGhI六Ab,BrianBehlendorf@acme.com,,false,training-module-02
training-session-82,TS-YY-000,2022/08/05 23:59,2022/08/12 23:59,de,世界多米纳兰独角兽,TimBerners-Lee@acme.com,http://example.org/a,false,training-module-02
training-session-83,TS-YY-001,2022/09/01 10:00,2022/09/08 10:00,국민경제의 발전을,de,AndersHejlsberj@acme.com,http://example.org/a/b,false,training-module-02
training-session-84,TS-YY-999,2022/07/04 22:00,2022/07/11 22:00,العظمى واعتلاء,국민경제의 발전을,GuidoVanRossum@acme.com,http://example.org/a/b?,false,training-module-02
training-session-85,TS-YY-998,2022/07/04 22:01,2022/07/11 22:01,Lorem ipsum,العظمى واعتلاء,a@b.es,http://example.org/a/b?a&b,false,training-module-02
training-session-86,TS-YYY-000,2022/07/04 23:59,2022/07/11 23:59,Pochita feroz,Lorem ipsum,a@b.esx,ftp://a,false,training-module-02
training-session-87,TS-YYY-001,2012/01/01 23:59,2012/01/08 23:59,Tengo muchos leslies en mi grupo,Pochita feroz,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomco,ftp://a.b,false,training-module-02
training-session-88,TS-YYY-999,2011/01/04 0:00,2011/01/11 0:00,Los unicornios dominaran el mundo,Tengo muchos leslies en mi grupo,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,training-module-02
training-session-89,TS-YYY-998,2022/07/04 23:58,2022/07/11 23:58,detalles3,deTAILS,TeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTeslaTesl@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,training-module-02
